cui	definition
C1384494	Metastatic carcinoma
C0162557	Acute hepatic failure
C1148477	Sudden deafness
C0014179	Endometritis
C1096444	Altered visual depth perception
C0686347	Tardive dyskinesia
C0919936	Therapy naive
C1258215	Ileus
C0860728	Osmolality increased
C0234215	Discomfort
C0236071	Throat tightness
C0852875	Eye allergy
C2584688	Testicular swelling
C0021361	Infertility female
C0919913	Nasal odour
C1699324	Pharyngeal mucositis
C0235632	Loin pain
C0042029	Urinary tract infection
C0241165	Skin thickening
C0015672	Fatigue
C0562483	Persistent cough
C0014850	Oesophageal atresia
C1696708	Prehypertension
C0015230	Rash
C0022906	Lacrimal duct obstruction
C2732728	Body height decreased
C0267406	Infarction mesenteric
C0231529	Tendon pain
C0040586	Tracheobronchitis
C0151898	Schizophrenic reaction
C0856677	Accelerated hair loss
C0701824	Staggering gait
C0042963	Vomiting
C0151585	Deafness permanent
C0262397	Breast tenderness
C0015732	Faecal incontinence
C0005956	Bone marrow disorder
C0270769	Radiation myelopathy
C2607914	Rhinitis allergic
C0003869	Arthritis infective
C0919737	Platelet aggregation inhibition
C0278134	Sensory loss
C0027134	Myringitis
C0348801	Pneumonia due to Streptococcus, group b
C0233973	Painful erection
C0034088	Pulmonary valve incompetence
C0206178	Cytomegalovirus retinitis
C0349398	Paranoid delusions
C0014718	Intertrigo candida
C0853141	Therapeutic response unexpected
C0019345	Herpes labialis
C0029442	Osteomalacia
C1299624	Postural orthostatic tachycardia syndrome
C0549346	Ischial neuralgia
C0854062	Blood fibrinogen decreased
C1096657	Prostate examination abnormal
C0152159	Uterine hypotonus
C0241705	Strangury
C0029928	Ovarian disorder
C0009917	Muscle contracture
C1142068	Arcus lipoides
C0031873	Pica
C0034150	Purpura
C1704373	Compulsive personality disorder
C0030824	Penicillin allergy
C0043345	Xeroderma
C0151538	Buccoglossal syndrome
C2747905	Destructive thyroiditis
C0853813	Local reaction
C0346156	Benign breast neoplasm
C0302810	Uraemic syndrome
C0034074	Pulmonary infarction
C1145628	Unspecified disorder of autonomic nervous system
C0220981	Metabolic acidosis
C2938875	Upper-airway cough syndrome
C1142034	Tandem gait test abnormal
C0281860	Wound haematoma
C0010054	Arteriosclerosis coronary artery
C1328537	Palmar-plantar erythema
C2721563	Infectious pneumonitis
C0748536	Scleral haemorrhage
C0267841	Acalculous cholecystitis
C0342257	Diabetic complication
C0241950	Intestinal infarction
C0001925	Albuminuria
C1112274	Genital discharge
C0026113	Miliaria
C0014714	Ergot poisoning
C0281839	Oesophageal rupture
C1619700	Renal aplasia
C0476280	Musculoskeletal chest pain
C0235069	Tetanus-like
C0242973	Ventricular dysfunction
C0151810	Lack of drug effect
C0085639	Fall
C0151436	Allergic cutaneous angiitis
C0741453	Bedridden
C1535849	Application site induration
C1290398	Cerebral arterial aneurysm
C1868980	Pharmacokinetic interaction
C0017566	Gingival hyperplasia
C0281803	Endotracheal intubation complication
C0022656	Renal cortical necrosis
C0542149	Injection site phlebitis
C0860516	Ground glass appearance
C2939103	Perioral paraesthesia
C0003486	Aortic aneurysm
C0919986	Infusion site oedema
C0009763	Conjunctivitis
C1096311	Mucosal discolouration
C0600041	Bladder infection
C0030922	Peptic ulcer haemorrhage
C0024141	Systemic lupus erythematosus
C0438716	Chest pressure
C0009450	Infection
C1141893	Muscle enzyme increased
C1096256	Cryptococcal cutaneous infection
C0231686	Unsteady gait
C0085119	Ulcer foot
C0014059	Acute disseminated encephalomyelitis
C0023487	Acute promyelocytic leukaemia
C0151555	Cinchonism
C0424810	Periorbital swelling
C0027343	Ingrowing nail
C0741165	Aortic embolus
C0231528	Myalgia
C0022408	Arthropathy
C0438242	Blood urea abnormal
C0233514	Abnormal behaviour
C1608954	Infusion site extravasation
C0022665	Renal neoplasm
C0017601	Glaucoma
C0232132	Thready pulse
C0241069	Skin erosion
C0079027	Intraoperative hemorrhage
C0022354	Jaundice cholestatic
C0919569	Airway complication of anaesthesia
C2363731	Oropharyngeal pain
C0232495	Abdominal pain lower
C0019163	Hepatitis B
C0003615	Appendicitis
C0020255	Hydrocephalus
C0340726	Embolism venous
C0863112	Pharyngo-oral irritation
C0549343	Neck tightness
C3495827	Lid sulcus deepened
C0221170	Muscle stiffness
C0262431	Spinal compression fracture
C0232461	Increased appetite
C0589616	Genitourinary chlamydia infection
C0232409	Hair growth abnormal
C0235032	Neurotoxicity
C1879328	Blindness, both eyes
C0858775	Myopia transient
C0232940	Amenorrhea secondary
C0151610	Tongue oedema
C0948268	Haemodynamic instability
C1611174	Post-traumatic pain
C0026718	Mucormycosis
C0553668	Labored breathing
C0855775	Pulmonary function test decreased
C0302809	Hepatitis fulminant
C1608953	Intestinal diaphragm disease
C0235620	Haemorrhage urinary tract
C1167785	Haemorrhagic urticaria
C1868911	Uric acid abnormal
C0024225	Lymphangitis
C0234533	Convulsions generalised
C0423285	Keratic precipitates
C0854097	Hypoaesthesia eye
C0232602	Retching
C0262613	Renal mass
C0575081	Gait disturbance
C0235980	Scleral discolouration
C0266011	Supernumerary nipple
C0853334	Thrombocytopenia aggravated
C0030552	Paresis
C0272396	Lymph node abscess
C0152915	Disseminated tuberculosis
C1697747	Laryngeal haemorrhage
C0004767	Bartholin's cyst
C0155713	Papillary muscle rupture
C0014868	Oesophagitis
C1112182	Parkinsonian rest tremor
C0151650	Kidney fibrosis
C0013220	Drug tolerance
C0036679	Separation
C0340305	Inferior myocardial infarction
C0030790	Pelvic infection
C0024031	Low back pain
C0021308	Infarction
C2745924	Platelet aggregation increased
C0015726	Fear
C0558148	Yellow skin
C0027765	Nervous system disorder
C1142113	Hyperalbuminaemia
C0852628	Embolism arterial (limb)
C0021359	Infertility
C0232943	Menometrorrhagia
C0043250	Wound
C1328466	Laryngopharyngeal dysesthesia
C0024633	Mallory-Weiss syndrome
C0948824	Haemorrhagic anaemia
C0085084	Motor neurone disease
C0393615	Familial tremor
C1455780	Aortic valve sclerosis
C1698818	Photodamaged skin
C0263383	Keratosis pilaris
C0376545	Haematological malignancy
C0033845	Benign intracranial hypertension
C0043046	Wasting generalized
C0206669	Hepatocellular adenoma
C2826318	Refractory cytopenia with unilineage dysplasia
C1697883	Infusion related pain
C0235906	Bronchospasm aggravated
C0010930	Dacryocystitis
C0855506	Red blood cells semen positive
C0085684	Footdrop
C0400821	Colitis microscopic
C0854144	Septic arthritis streptobacillus
C0007282	Carotid artery stenosis
C0240322	Menstruation delayed
C0235304	Acid indigestion
C0748538	Scleral pigmentation
C0152165	Persistent vomiting
C0520904	Nausea postoperative
C2363809	Incessant ventricular tachycardia
C1096355	Electrocardiogram U-wave abnormality
C1167791	Skin toxicity
C0235409	Increased insulin requirement
C0007095	Carcinoid tumour
C0860901	Protein total decreased
C0151620	Hypertensive encephalopathy
C0476089	Endometrial cancer
C0239946	Hepatic fibrosis
C0855618	Alanine aminotransferase decreased
C0221245	Skin fissures
C0236000	Pain in jaw
C0006267	Bronchiectasis
C0085740	Mendelson's syndrome
C3544060	Accidental exposure to product
C0748052	Erythrodermic psoriasis
C0392175	Renal haemorrhage
C1095923	Febrile bone marrow aplasia
C0235901	Lacrimation abnormal NOS
C0151905	Alanine aminotransferase increased
C0277884	Blood pressure systolic increased
C0151705	Retroperitoneal haemorrhage
C0003123	Anorexia
C0004144	Atelectasis
C1112537	Neurological examination abnormal
C0340952	Secondary anemia
C0574960	Sacroiliitis
C0233485	Apprehension
C0857807	Accidental ingestion
C0863083	Injection site tenderness
C0042571	Vertigo
C0267566	Perirectal abscess
C0020517	Hypersensitivity
C0158281	Cervicobrachial syndrome
C2973529	Leukocytoclastic vasculitis
C0020557	Hypertriglyceridaemia
C0015802	Femur fracture
C0001807	Aggression
C0035508	Rhonchi
C0149976	Proctitis herpes
C0005411	Atresia biliary
C0233660	Thought blocking
C1262010	Post lumbar puncture syndrome
C1456863	Vasoconstriction
C0587246	Limb paresis
C0027822	Neurodermatitis
C0030293	Pancreatic insufficiency
C0241057	Skin burning sensation
C0853782	Blood creatine phosphokinase abnormal
C0005398	Cholestasis extrahepatic
C0221045	Cardiac failure high output
C0149771	Rectocele
C0019937	Horner's syndrome
C0013604	Oedema
C0268621	Hypermethioninaemia
C0264588	Spasmodic dysphonia
C0549450	Oesophageal reflux aggravated
C0152006	Vitreous opacities
C1963921	Chemical phlebitis
C0853347	Venous thrombosis limb
C0018816	Cardiac septal defect
C0856099	Hemorrhoids aggravated
C0020595	Hypoaldosteronism
C0427546	Lymphocyte abnormal
C0857177	Arthritic pains
C0853198	Gastroenteritis yersinia
C1963943	Atherothrombosis
C0854679	Needle injury
C0265783	Pulmonary hypoplasia
C1956346	Coronary artery disease
C0151539	Blood urea increased
C1168034	Gastric pH decreased
C0852990	Blood thromboplastin decreased
C0872380	Food craving
C0857751	Erythema multiforme minor
C0027849	Neuroleptic malignant syndrome
C0151190	Palpable purpura
C0034155	Thrombotic thrombocytopenic purpura
C0580531	White blood cell count abnormal
C0277960	Dry hair
C0024904	Mastoiditis
C0863100	Tightness in jaw
C0009806	Constipation
C0546959	Atrial tachycardia
C0041782	Deficiency anaemia
C0856110	Oedema aggravated
C0022410	Joint instability
C0852795	Blood insulin increased
C0162871	Abdominal aortic aneurysm
C0001361	Acute tonsillitis
C0011616	Dermatitis contact
C0152021	Heart disease congenital
C0268070	Copper deficiency
C0153349	Tongue neoplasm malignant stage unspecified
C0877203	Respiratory tract infection viral
C0086543	Cataract
C3495442	Phantom pain
C0919578	Idiosyncratic drug reaction
C2747853	Injury associated with device
C0038367	Ulcerative stomatitis
C3267019	Central nervous system haemorrhage
C0520966	Coordination abnormal
C0085661	Onycholysis
C1262038	Post procedural nausea
C0155540	Otorrhoea
C1611157	Hepatic infiltration eosinophilic
C0234939	Inflammatory swelling
C0919883	Puncture site haemorrhage
C0948387	Secondary adrenal insufficiency
C0021807	Intertrigo
C0024437	Macular degeneration
C0015256	Excoriation
C0159076	Choluria
C1142166	Brugada syndrome
C0037650	Somatoform disorder
C0004509	Azoospermia
C0679048	Obsessive thoughts
C0270934	Toxic neuropathy
C0151821	Accidental overdose
C0162296	Polyarthralgia
C0271899	Normochromic normocytic anaemia
C0936250	Eczema herpeticum
C0013528	Echolalia
C0024138	Discoid lupus erythematosus
C0853336	Corneal infiltrates
C0425643	Midsystolic click
C0004763	Barrett's oesophagus
C0018813	Myocardial rupture
C0948380	Colorectal cancer metastatic
C0497202	Abnormal eye movements NOS
C0392519	Calcium deficiency
C0026975	Myelitis
C0155789	Oesophageal varices haemorrhage
C1868829	Ultrasound ovary abnormal
C0271429	Otitis media acute
C0235140	Drug maladministration
C0476254	Dyslexia
C1868809	Catheter thrombosis
C1720775	Renal tubular necrosis
C0265294	Metaphyseal dysplasia
C0007107	Laryngeal cancer
C0854107	Haemorrhage subcutaneous
C0024528	Malaise and fatigue
C0018916	Haemangioma
C0877183	Nail bed tenderness
C1527249	Colorectal cancer
C0409974	Lupus erythematosus
C0013221	Drug toxicity
C0037315	Sleep apnoea syndrome
C0241635	Vaginal erythema
C0521464	Skin oedema
C0009759	Conjunctival disorder
C0234535	Clonic convulsion
C0857112	Glaucoma both eyes
C0856126	Hematuria aggravated
C0262405	Cerebral dysfunction
C0221714	Injection site infection
C0038000	Splenic rupture
C0278151	Facial spasm
C0019156	Venoocclusive liver disease
C0080179	Spinal fracture
C0034933	Reflexes abnormal
C0023531	Leukoplakia
C0235063	Respiratory depression
C0030807	Pemphigus
C0853068	Glomerular filtration rate decreased
C0162739	HELLP syndrome
C0392171	Influenza-like symptoms
C0241136	Pain of skin
C0015668	Fat necrosis
C0235196	Suicidal tendency
C1868919	Upper abdominal discomfort
C0236053	Mucosal ulceration
C2939447	Right ventricular failure
C0149777	Abscesses of skin
C0392525	Nephrolithiasis
C0011253	Delusion
C0016385	Cardiac flutter
C0700361	Emotional distress
C1697438	Cystitis viral
C0151586	Partial permanent deafness
C1868710	Bronchial secretion retention
C0029408	Osteoarthritis
C0877406	Performance status decreased
C0151609	Scrotal oedema
C0037293	Acrochordon
C1456329	Stomach dilation procedure
C0242645	Blue toe syndrome
C0042487	Venous thrombosis
C0033860	Psoriasis
C0080174	Spina bifida occulta
C0521516	Polymyalgia
C0155550	Neural hearing loss
C0857199	Red blotches
C0740409	Psychotic behaviour
C0235552	Subglottic edema
C0021122	Impulse-control disorder
C0085606	Micturition urgency
C0004161	Sports injury
C0235129	Feeling strange
C0854382	Libido disorder
C1535970	Blood count abnormal
C0519063	Pulmonary lymphoma
C0855704	Vital dye staining cornea present
C0877664	Gastrointestinal cramps
C1142139	Drug reaction with eosinophilia and systemic symptoms
C0239182	Watery diarrhoea
C0751372	Pain nerve
C0151811	Subcutaneous nodule
C0015544	Failure to thrive
C0241712	Vulval erythema
C0149985	Secondary syphilis
C0149793	Amaurosis fugax
C0439857	Dependence
C0231613	Occipital headache
C0233469	Blunted affect
C0877117	Cytomegalovirus gastritis
C0042167	Posterior uveitis
C0240991	Sensory ataxia
C0423773	Skin scaly
C0014724	Eructation
C0010068	Coronary heart disease
C0152029	Sinus congestion
C0085681	Hyperphosphataemia
C0410959	Foetal acidosis
C0011124	Libido decreased
C0040485	Torticollis
C0033975	Psychotic disorder
C0856604	Rubber sensitivity
C0338375	Aseptic peritonitis
C0522251	Sinus pain
C1696685	Intentional drug misuse
C0520901	Increased skin sensitivity
C1262165	High turnover osteopathy
C1262299	Oral papilloma
C0027540	Necrosis
C0235955	Dermatitis hemorrhagic
C0022658	Nephropathy
C0919947	Thoracic vertebral fracture
C0852792	Blood cortisol decreased
C0040517	Tourette's disorder
C0151574	Cough decreased
C0220650	Brain cancer metastatic
C0231694	Festinating gait
C0740401	Duodenal ulcer perforation
C0232191	Reflex bradycardia
C0018790	Cardiac arrest
C0877690	Renal graft loss
C0857051	Bad dreams
C0000924	Accident
C0340909	Arteriovenous fistula thrombosis
C0149725	Lower respiratory tract infection
C0854985	Lung adenocarcinoma stage I
C0580181	Jessner's lymphocytic infiltration
C1142277	Brown urine
C0235922	Breast neoplasm benign female
C1412000	Mesenteric vascular insufficiency
C0019618	Histiocytosis
C0424444	Teeth clenching
C0023380	Lethargy
C0235524	Vein pain
C1536696	Overactivity
C0271650	Glucose tolerance impaired
C2937222	Proctitis ulcerative
C0235723	Reaction febrile
C0221395	Erythropenia
C1609512	Vulvovaginal mycotic infection
C0040053	Thrombosis
C0031117	Neuropathy peripheral
C0151754	Lactic dehydrogenase activity increased
C0008325	Cholecystitis
C0274702	Cholinergic syndrome
C0853020	Blood oestrogen increased
C0221260	Nail dystrophy
C0919939	Graft thrombosis
C0235169	Excitability
C1504363	Body temperature fluctuation
C0679254	Disease recurrence
C0154002	Benign vaginal neoplasm
C0032019	Pituitary tumour
C0028242	Nocardiosis
C0037011	Shoulder pain
C0150055	Chronic pain
C0019338	Herpangina
C1096343	Infusion site reaction
C0241379	Increased thirst
C0037195	Sinus headache
C1142333	Oral mucosal irritation
C0740457	Renal cancer
C1695895	Angiodermatitis
C0015970	Fever of unknown origin
C0016655	Multiple fractures
C0028850	Eye movement disorder
C1698394	Acute promyelocytic leukaemia differentiation syndrome
C0023055	Laryngeal neoplasm
C0855624	Aspartate aminotransferase normal
C0018979	Hemianopia
C0151467	Adrenocortical insufficiency acute
C0263445	Acne fulminans
C0423226	Corneal pigmentation
C0521654	Neurological impairment
C0015624	Fanconi syndrome
C0036572	Convulsion
C0877338	Breast discomfort
C0002965	Angina unstable
C3241958	Myocardial disorder
C0151686	Growth retardation
C0019623	Malignant histiocytosis
C2931822	Nasopharyngeal carcinoma
C2609199	Product taste abnormal
C0036416	Scleritis
C0241426	Burning tongue
C0854080	Painful response to normal stimuli
C0948978	Catheter site cellulitis
C0853277	Pseudo-Bartter syndrome
C0474395	Increased activity
C0019342	Genital herpes
C0524909	Chronic hepatitis B
C0877090	Orthostatic collapse
C1167709	Epidermal necrosis
C0018932	Haematochezia
C0079487	Helicobacter infection
C0019825	Hoarseness
C0232452	Cutis anserina
C0595928	Serum calcium increased
C0235884	Gastric perforation
C0011606	Dermatitis exfoliative
C0392008	Anaesthetic complication
C0014852	Oesophageal disorder
C2609269	Fasting hyperglycaemia
C0015371	Extrapyramidal disorder
C0007102	Colon cancer
C0023418	Leukaemia
C0019357	Ophthalmic herpes simplex
C0025289	Meningitis
C1096275	Increased viscosity of bronchial secretion
C1384606	Dyspareunia
C0002994	Angioedema
C0265072	Inferior vena cava syndrome
C1444565	Cardiopulmonary failure
C0857083	Generalized macular rash
C0152427	Polydactyly
C0232910	Teratogenicity
C0003873	Rheumatoid arthritis
C0856081	Restlessness aggravated
C0151747	Renal tubular disorder
C0085383	Hypocapnia
C0027769	Nervousness
C0151964	Conjunctival ulcer
C0027721	Lipoid nephrosis
C1442839	Hypervitaminosis D
C1852242	AION
C0022603	Seborrhoeic keratosis
C0241442	Protrusion tongue
C0235097	Withdrawal seizures
C0151970	Oesophageal ulcer
C0343263	Chondrolysis
C0860160	Diabetes mellitus inadequate control
C1442837	Myocardial necrosis
C0007196	Restrictive cardiomyopathy
C1442903	Exostosis
C0037933	Spinal disorder
C1739111	Foetal anticonvulsant syndrome
C0242698	Left ventricular dysfunction
C0239385	Paresthesia of limbs
C0236082	Vaginal pain
C0014534	Epididymitis
C0268948	Scrotal ulcer
C0024198	Lyme disease
C0016542	Foreign body
C0340608	Renal artery thrombosis
C0877305	Postoperative wound complication
C0392707	Atopy
C0151734	Injection site inflammation
C0233565	Bradykinesia
C0240291	Mg reduced
C0948521	Oral pruritus
C0860603	Anxiety symptoms NOS
C0151934	Hypogeusia
C0521506	Injection site paraesthesia
C0541767	Platelet aggregation abnormal
C2364111	Ageusia
C0023524	Progressive multifocal leukoencephalopathy
C0700345	Vulvovaginal candidiasis
C0014118	Endocarditis
C0403639	Chemical cystitis
C0948441	Venoocclusive disease
C0041349	Tubulointerstitial nephritis
C0019917	Hordeolum
C1142072	Oral toxicity
C0742115	Cerebritis
C1096340	Dysphemia
C0162292	External ophthalmoplegia
C0341318	Enterocutaneous fistula
C0740481	Hypotension asymptomatic
C0578159	Antibiotic-associated diarrhea
C0919890	Hyperfibrinogenaemia
C0038663	Suicide attempt
C0868908	Pancolitis
C0852967	Exacerbation of acne
C0338642	Toxic confusional state
C0853118	Blood testosterone increased
C0014553	Petit mal epilepsy
C0428282	Serum creatinine decreased
C1868790	Intranasal hypoaesthesia
C0853402	Exposure to poisonous plant
C1328327	Gastrooesophageal sphincter insufficiency
C0006840	Candida infection
C0221758	Stiff back
C2047937	Ill-defined disorder
C0030312	Pancytopenia
C0577620	Allergy to nuts
C0156339	Vulval ulceration
C1963951	Acute overdose
C0019158	Hepatitis
C3495797	Peripheral artery stenosis
C0852566	Sleep phase rhythm disturbance
C0423282	Anterior chamber cell
C0271211	Erythropsia
C0262365	Mammogram abnormal
C0235119	Hunger abnormal
C0078911	HIV associated nephropathy
C0159020	Convulsion neonatal
C1328386	Breast fibroma
C0011757	Developmental coordination disorder
C0017416	Female reproductive neoplasm
C1535948	Retinal aneurysm
C0856880	Urea increased
C0877398	Anaemia postoperative
C0270810	Peroneal nerve palsy
C0029429	Osteochondrosis
C0013473	Eating disorder
C0038454	Cerebrovascular accident
C0239591	Paresthesia of fingers
C0162311	Androgenetic alopecia
C0005687	Bladder distension
C0008489	Chorea
C0521172	Eschar
C0497538	Benign gastrointestinal neoplasm
C0855622	Aspartate aminotransferase decreased
C0017668	Focal segmental glomerulosclerosis
C0017160	Gastroenteritis
C0858635	Pharyngolaryngeal pain
C0339467	Retinopathy proliferative
C0040046	Thrombophlebitis
C0858307	Bilirubin normal
C1510475	Diverticulum intestinal
C0948023	Urine phosphate increased
C0684275	Haemophilia
C1527344	Dysphonia
C0020903	Illusion
C0023067	Laryngitis
C0948595	Ocular discomfort
C1167761	Fungal test positive
C0277889	Blood pressure diastolic increased
C0149518	Acute gastritis
C0520837	Forced expiratory volume decreased
C0024117	Chronic obstructive pulmonary disease
C0852969	Tongue irritation
C0030521	Parathyroid tumour
C0497217	Other disorders of eye
C0031154	Peritonitis
C0432487	Post transplant lymphoproliferative disorder
C0232352	Vascular insufficiency
C0919600	Application site hyperaesthesia
C0750151	Vaso-occlusive crisis
C1167677	Infrequent bowel movements
C0271686	Diabetic autonomic neuropathy
C1141861	Procedural complication
C0151205	Periorbital oedema
C0281361	Adenocarcinoma pancreas
C0005779	Coagulopathy
C0242172	Pelvic inflammatory disease
C0241633	Vaginal dryness
C0085692	Cystitis haemorrhagic
C0023370	Leriche syndrome
C0858581	Numbness generalized
C0151977	Small intestine ulcer
C0038160	Staphylococcal infection
C0750876	Phlebitis superficial
C0239266	Pain in elbow
C0549249	Depressed level of consciousness
C0438237	Hepatic enzyme abnormal
C0347941	Chest mass NOS
C0858156	Serum potassium abnormal
C0006144	Breast cyst
C0018834	Heartburn
C0013384	Dyskinesia
C0854303	Limb discomfort
C1142117	Adnexa uteri pain
C0017185	Gastrointestinal neoplasm
C0011882	Diabetic neuropathy
C0948692	Necrotising colitis
C0011168	Dysphagia
C0269002	Penile haemorrhage
C0238334	Pancreatic abscess
C0521161	Vasculitic rash
C1142272	Neutrophilic dermatosis
C0018772	Partial hearing loss
C0151479	Amylase increased
C0034886	Proctalgia
C0041466	Typhoid fever
C0085166	Vaginitis bacterial
C0424740	Cold hands
C0236003	Mucosal swelling
C0015799	Feminization
C1388177	Aortic arteriosclerosis
C0151795	Injection site necrosis
C0035455	Rhinitis
C0032320	Pneumoperitoneum
C0021099	Impetigo
C0392788	Extranodal NK/T-cell lymphoma, nasal type
C0877131	Urinary tract infection fungal
C0011848	Diabetes insipidus
C0857073	Cold hands & feet
C0853698	Lymphocyte count increased
C0743300	Urine drug screen positive
C0034040	Postpartum disorder
C0014752	Erythrasma
C0274869	Metal poisoning
C0032231	Pleurisy
C0549201	Asteatosis
C0700590	Sweating increased
C0751901	Vocal tic
C0085635	Photopsia
C0036420	Circumscribed scleroderma
C0003504	Aortic valve incompetence
C0025209	Melanosis
C2938972	Penile haematoma
