C1263960	Diabetic coma
C1268766	Change in blood pressure
C0022575	Keratoconjunctivitis sicca
C0153349	Tongue neoplasm malignant stage unspecified
C0849916	Generalised erythema
C0270274	Vomiting neonatal
C0152159	Uterine hypotonus
C0034882	Rectal disorder
C1112274	Genital discharge
C1167870	Graft dysfunction
C0151618	Embolus leg
C0740299	Blood culture positive
C0435630	Wrist fracture
C0007113	Rectal cancer
C0151888	Hyporeflexia
C0854303	Limb discomfort
C0037383	Sneezing
C0014173	Endometrial hyperplasia
C0232808	Shutdown renal
C0151908	Dry skin
C0003079	Pupils unequal
C1262144	Increased bronchial secretion
C0013298	Duodenitis
C0006266	Bronchospasm
C0009782	Connective tissue disorder
C0221436	Melanoderma
C0022116	Ischaemia
C0009806	Constipation
C0151996	Uterine fibroids enlarged
C0853118	Blood testosterone increased
C0549493	Alveolitis
C0242698	Left ventricular dysfunction
C0025160	Megacolon
C0857144	Metastatic pain
C1142135	Muscle relaxant therapy
C0581164	Digoxin level increased
C0234925	Oily skin
C0027627	Metastasis
C1096185	Dacryostenosis acquired
C0039520	Tenosynovitis
C0856069	Vasculitis gastrointestinal
C0235433	Fat tissue increased
C0018965	Haematuria
C0008489	Chorea
C0376358	Prostate cancer
C0267465	Intestinal stenosis
C0007078	Carbuncle
C0877117	Cytomegalovirus gastritis
C0002624	Retrograde amnesia
C0852711	Hand and foot syndrome secondary to sickle cell anaemia
C0740314	Ultrasound breast abnormal
C0267373	Intestinal haemorrhage
C0040460	Toothache
C0151625	Enzyme abnormality
C0575081	Gait disturbance
C0520477	Prostatic adenoma
C0595879	Sodium high
C0432487	Post transplant lymphoproliferative disorder
C0233763	Hallucination visual
C0152020	Gastric atony
C1096195	Thyroglobulin increased
C0039503	Tendonitis
C0541919	Dystonic reaction
C0009081	Congenital clubfoot
C0030662	Pathological gambling
C0221165	Diplegia
C0265547	Limb reduction defect
C0004690	Balanitis
C0401013	Fungal peritonitis
C0920102	Phosphorus low
C0030781	Peliosis hepatis
C0235966	Dreaming excessive
C0239293	Oesophageal haemorrhage
C0156279	Urethral syndrome
C0341742	Acute retention of urine
C0853777	Blood albumin decreased
C0008626	Cytogenetic abnormality
C1096460	Infusion site phlebitis
C0581912	Sensation of heaviness
C1306587	Encephalopathy acute
C0270611	Brain injury
C0086525	Lassitude
C0023474	Chronic phase chronic myeloid leukemia
C1096035	Infusion site pain
C0392034	Gastrooesophagitis
C0162566	Porphyria cutanea tarda
C0677500	Stinging
C0857448	Serum urea increased
C0240671	Activated partial thromboplastin time prolonged
C0856054	Mental status changes
C0595861	Parasuicide
C2747793	Acute phosphate nephropathy
C0234967	Choreoathetoid movements
C0232849	Bladder pain
C0221264	Cheilosis
C0043246	Laceration
C0085633	Mood swings
C0032131	Plasmacytoma
C1956391	Temporal arteritis
C0851807	Aspergillus infection
C2173677	Renal cyst
C0015256	Excoriation
C0271298	Chemosis
C0085580	Essential hypertension
C0859290	Black spot
C0030318	Panic reaction
C0151315	Neck stiffness
C0497365	Rash generalised
C0233612	Waxy flexibility
C0342406	Pituitary haemorrhage
C0233459	Emotional disorder
C0576702	Lhermitte's sign
C0156318	Breast fibrosis
C0033038	Premature ejaculation
C0038218	Status asthmaticus
C0005395	Bile duct disorders
C0341335	Cytomegalovirus colitis
C0013390	Dysmenorrhoea
C0023487	Acute promyelocytic leukaemia
C0277919	Post thrombotic syndrome
C0235656	Uterine cervical lesion
C0009443	Common cold
C1504379	Coagulation test abnormal
C0858794	Application site warmth
C0020039	Hostility
C0151563	Coagulation time prolonged
C0854114	Corneal epithelium defect
C0016242	Vitreous floaters
C1112773	Post procedural diarrhoea
C0429468	Anovulatory cycle
C0029132	Optic nerve disorder
C0008909	Claustrophobia
C0151701	Pulmonary haemorrhage
C0235753	Haemangioma congenital
C0423736	Micturition burning
C0005940	Bone disorder
C0343401	Methicillin-resistant Staphylococcus aureus infection
C0035229	Respiratory insufficiency
C0014866	Oesophageal stenosis
C0521620	Hydroureter
C1527311	Brain oedema
C0687133	Drug interaction
C0312422	Blacked-out (not amnesia)
C0025323	Menorrhagia
C0041296	Tuberculosis
C0149771	Rectocele
C0272285	Heparin-induced thrombocytopenia
C0281774	Acute psychosis
C0029124	Optic atrophy
C0241379	Increased thirst
C0011880	Diabetic ketoacidosis
C0858589	Coordination disturbance
C0233795	Anterograde amnesia
C0023890	Hepatic cirrhosis
C0005778	Clotting
C0019825	Hoarseness
C0026848	Myopathy
C0028081	Night sweats
C0595885	Serum potassium decreased
C0028866	IIIrd nerve paralysis
C0392525	Nephrolithiasis
C0011334	Dental caries
C0232940	Amenorrhea secondary
C0277925	Peripheral coldness
C0221742	Serum sickness-like reaction
C0038379	Strabismus
C0033844	Pseudotumor
C1142248	Pseudomononucleosis
C0264545	Pleural thickening
C0019357	Ophthalmic herpes simplex
C0267537	Caecitis
C0235919	Nerve root lesion
C0162298	Joint stiffness
C1142459	Application site scar
C0302592	Cervix carcinoma
C0020635	Hypopituitarism
C0232493	Epigastric pain
C0853142	CD4 lymphocytes decreased
C0151772	Manic psychosis
C0022353	Jaundice neonatal
C0522570	Inflammation localised
C0035357	Retroperitoneal fibrosis
C0022568	Keratitis
C0021099	Impetigo
C0029927	Ovarian cyst
C0004096	Asthma
C0038663	Suicide attempt
C0877406	Performance status decreased
C0023218	Cramps of lower extremities
C0002963	Prinzmetal angina
C0017086	Gangrene
C1112369	Paranasal sinus hypersecretion
C0553713	Breast pain female
C1096658	Urine phosphorus increased
C0151766	Liver function test abnormal
C0038238	Steatorrhoea
C0003534	Aphakia
C0423847	Growth of eyelashes
C0333912	Hypochromasia
C0728993	Spotting vaginal
C0268000	Fluid retention
C0235398	Diabetes mellitus exacerbated
C0595916	Nephropathy toxic
C0577559	Mass
C0023895	Liver disorder
C0021655	Insulin resistance
C2718128	Nasal inflammation
C1096403	Left ventricular ejection fraction decreased
C0027822	Neurodermatitis
C0242350	Erectile dysfunction
C0232693	Borborygmi
C0039614	Tetanus
C0033777	Pruritus genital
C0004364	Autoimmune disorder
C0030446	Ileus paralytic
C0694536	Drug seeking behavior
C0851341	Infestation NOS
C0151578	Creatinine increased
C0003635	Apraxia
C0151694	Hemorrhage of colon
C0021294	Premature baby
C3203466	Acute enterocolitis
C0235849	Stomatitis necrotising
C0858635	Pharyngolaryngeal pain
C1112371	Anterior chamber pigmentation
C0266813	Faecal occult blood positive
C1328358	Pedal pulse decreased
C0856150	Spinal haematoma
C0162283	Nephrogenic diabetes insipidus
C1306792	Red man syndrome
C0206062	Interstitial lung disease
C2697368	Gastrointestinal tract irritation
C0039070	Syncope
C0435001	Ligament injury
C0034642	Rales
C0010034	Corneal disorder
C0700363	Rhythm idioventricular
C1536009	Oesophageal oedema
C1096213	Cannula site reaction
C0549453	Traumatic haematoma
C0423281	Anterior chamber flare
C0014544	Epilepsy
C0013922	Embolism
C0152198	Accommodation disorder
C0549376	Plasma osmolality decreased
C0597457	Skeletal injury
C0152025	Polyneuropathy
C0235259	Cataract subcapsular
C0341503	Peritonitis bacterial
C0016579	Formication
C0521208	Accident at home
C0234894	Dermatitis acneiform
C0003834	Arterial insufficiency
C0152459	Skin striae
C0549391	Bladder discomfort
C0011875	Diabetic vascular disorder
C0236048	Gastric polyps
C1458155	Breast neoplasm
C3665347	Visual impairment
C0853312	Osteoarthritis aggravated
C0235848	Skin cold clammy
C0271738	Secondary adrenocortical insufficiency
C0020492	Hyperostosis
C0919714	Retinal vascular thrombosis
C0153619	Ureteric cancer
C0234632	Visual acuity reduced
C0011304	Demyelination
C0014236	Endophthalmitis
C0860700	Prothrombin level abnormal
C0033046	Premenstrual syndrome
C0750394	White blood cell count decreased
C1504465	Device malfunction
C0269268	Breast induration
C0041834	Erythema
C2364111	Ageusia
C0235325	Gastric haemorrhage
C0853074	Anxiety NEC
C0740330	Genital infection fungal
C0271650	Glucose tolerance impaired
C0949691	Spondyloarthropathy
C0021775	Intermittent claudication
C0435002	Ligament sprain
C0151738	Large intestine perforation
C0863147	Glucose urine increased
C0021167	Incontinence
C0860564	Retinoic acid syndrome
C1142335	Bilirubin abnormal
C0748318	Progressive renal failure
C0235551	Laryngotracheal oedema
C0242354	Disorder birth
C0235761	Nasal septum perforation
C3665596	Warts
C1737224	Post procedural swelling
C0853697	Neutrophil count decreased
C0038325	Stevens-Johnson syndrome
C0860967	Calcium low
C1142358	Lactic acidosis syndrome
C0023434	Chronic lymphocytic leukaemia
C0278107	Painful ejaculation
C0221016	Red blood cell disorders
C0011881	Diabetic nephropathy
C0917798	Cerebral ischaemia
C0026113	Miliaria
C0474378	Hair colour changes
C0522063	Impaired gastric emptying
C0221512	Stomach ache
C3203661	Bilirubin total low
C0235013	Hypervigilance
C0040586	Tracheobronchitis
C0240464	Neck oedema of
C0151994	Uterine enlargement
C0152008	Vulvovaginal disorder
C0151574	Cough decreased
C0748052	Erythrodermic psoriasis
C0016867	Furunculosis
C0243065	Aplasia
C0947999	Blood urine present
C0263492	Ingrown hair
C0857236	Rash both legs
C0521991	Stress symptoms
C0239375	Numbness of limbs
C0281361	Adenocarcinoma pancreas
C0008033	Pleuritic pain
C0028850	Eye movement disorder
C0004930	Behavior disorder
C1168175	Incision site haematoma
C1142300	Clostridium colitis
C0599918	Nephrotoxicity
C0027796	Neuralgia
C0022081	Iritis
C0458104	Genital pain male
C1322253	Eczema infected
C0456909	Blindness
C0745754	Hepatic granuloma
C0033775	Anal pruritus
C0267412	Thrombosis mesenteric vessel
C0151865	Pregnancy test false positive
C0085642	Livedo reticularis
C0023533	Leukorrhea
C0948023	Urine phosphate increased
C0036454	Scotoma
C0042798	Vision decreased
C0347390	Skin papilloma
C0016655	Multiple fractures
C1302752	Abrasion NOS
C0522245	Feeling hot and cold
C0235283	Ear buzzing
C0025193	Melancholia
C0038220	Status epilepticus
C3203646	Bilirubin total decreased
C0744131	Foot infection fungal NOS
C0040409	Tongue disorder
C0235886	Leg edema
C0376545	Haematological malignancy
C0032285	Pneumonia
C0024117	Chronic obstructive pulmonary disease
C0264893	Nodal arrhythmia
C0854456	Cellulitis gangrenous
C1328308	Increased upper airway secretion
C0018949	Spinal cord haemorrhage
C0278008	Change of bowel habit
C0009324	Colitis ulcerative
C2717961	Thrombotic microangiopathy
C0549336	Asthma aggravated
C0729552	Genital infection
C0852418	Speech and language abnormalities
C0014583	Episcleritis
C0852733	Completed suicide
C1322281	Rhinitis seasonal
C0027709	Nephrocalcinosis
C0262576	Nerve paralysis
C0423361	Posterior vitreous detachment
C0877077	Myocardial haemorrhage
C1142305	Melanonychia
C0521008	Screaming
C0042131	Uterine disorder
C2937350	Abnormal ejaculation
C0018979	Hemianopia
C0333494	Phlebosclerosis
C0264267	Nasal ulcer
C0858217	Gastrointestinal fullness
C0857121	Hypertensive
C0278080	Dependence physiological
C0497552	Unspecified congenital anomaly of brain	 spinal cord	 and nervous system
C2939147	Feeling hot
C0239296	Oesophageal obstruction
C3495917	Advanced breast cancer
C1868855	Post procedural infection
C0013415	Dysthymic disorder
C0022578	Keratoconus
C0743680	Eye oedema
C0857483	Worsening of diabetes
C0858259	Nasal discomfort
C0240840	Pulse pressure decreased
C0520546	Pulmonary microemboli
C1698480	Supraventricular tachyarrhythmia
C0747256	Infection parasitic
C0015806	Femoral neck fracture
C0010418	Cryptosporidiosis infection
C3160771	Sperm concentration decreased
C0429028	Electrocardiogram QT interval
C0003910	Phonological disorder
C0574067	Cough increased
C0699893	Skin carcinoma
C0341047	Parotid gland enlargement
C0033949	Male orgasmic disorder
C0234222	Sensation of pressure
C0272426	Mouth injury
C0016053	Fibromyalgia
C0155943	Arthralgia of temporomandibular joint
C0004352	Autism
C0553702	Ca++ increased
C0042018	Calculus urinary
C0042721	Hepatitis viral
C0259756	Jarisch-Herxheimer reaction
C0392156	Akathisia
C0006144	Breast cyst
C0236083	Burning feeling vagina
C0036973	Shivering
C0236022	Neoplasm malignant aggravated
C0235592	Lymphadenopathy cervical
C0040259	Tinea pedis
C0542476	Forgetfulness
C0858667	Urinary protein increased
C0151594	Diarrhoea haemorrhagic
C0013221	Drug toxicity
C0549297	Auricular swelling
C0013604	Oedema
C0007137	Squamous cell carcinoma
C0423791	Rash maculo-papular
C0019156	Venoocclusive liver disease
C1527358	Phototoxicity
C0040034	Thrombocytopenia
C0014860	Oesophageal perforation
C0241426	Burning tongue
C0038160	Staphylococcal infection
C0025162	Megacolon toxic
C0004601	Back injury
C0041909	Upper gastrointestinal haemorrhage
C0281860	Wound haematoma
C0233414	Disturbance in attention
C0271899	Normochromic normocytic anaemia
C0302813	Lactase deficiency
C2939103	Perioral paraesthesia
C0343886	Gastrointestinal candidiasis
C1704202	Aspermia
C0006079	Bowen's disease
C0274714	Adrenergic syndrome
C0520837	Forced expiratory volume decreased
C0085819	Antibiotic associated colitis
C0231666	Wrist drop
C0029134	Optic neuritis
C1412000	Mesenteric vascular insufficiency
C0028259	Nodule
C0085207	Gestational diabetes
C1959622	Vein distended
C0012569	Diplopia
C0750197	Sustained ventricular tachycardia
C0037011	Shoulder pain
C0235698	Abdominal distension gaseous
C0869523	Carditis
C0003873	Rheumatoid arthritis
C3263723	Injury
C0267158	Reflux gastritis
C0863070	Catheter site related reaction
C0151669	Gamma globulins increased
C1609536	Allergic bronchospasm
C0085582	Neuritis retrobulbar
C0423124	Dermatochalasis
C0030920	Peptic ulcer
C0235984	Salivary duct obstruction
C0948824	Haemorrhagic anaemia
C0236018	Aura
C0857576	Thyroid function abnormal
C2609445	Infusion site reactions
C1535939	Pneumocystis jirovecii pneumonia
C0030790	Pelvic infection
C0948594	Musculoskeletal discomfort
C0038395	Streptococcal infection
C0521508	Injection site bruising
C0235318	Fullness abdominal
C2748362	Vulvovaginal erythema
C0019937	Horner's syndrome
C0019061	Haemolytic uraemic syndrome
C1868829	Ultrasound ovary abnormal
C0919726	Postoperative hypertension
C0011206	Delirium
C0151786	Muscular weakness
C0240897	Retinal exudates
C0001925	Albuminuria
C0542239	Tired and heavy
C0033581	Prostatitis
C0236178	Intra-abdominal haemorrhage
C0855775	Pulmonary function test decreased
C0016382	Flushing
C0281963	Red cell aplasia
C0011974	Dermatitis diaper
C0034068	Pulmonary eosinophilia
C0013274	Patent ductus arteriosus
C0235018	Localised numbness
C0687707	Anorectal disorder
C1861172	Venous thromboembolism
C0013528	Echolalia
C0948525	Musculoskeletal stiffness
C0235196	Suicidal tendency
C1321686	Faecaloma
C0262365	Mammogram abnormal
C0013220	Drug tolerance
C0549343	Neck tightness
C0423757	Skin thinness
C1262200	Cerebrovascular infarction
C0042571	Vertigo
C0438716	Chest pressure
C0235146	Euphoric mood
C0043117	Idiopathic thrombocytopenic purpura
C0877046	Tooth infection
C0042755	Virilism
C0699885	Bladder carcinoma
C0151977	Small intestine ulcer
C0600142	Hot flush
C0235353	Tooth caries aggravated NOS
C0853760	Blood potassium increased
C0241633	Vaginal dryness
C0014122	Subacute bacterial endocarditis
C0948715	Infusion related reaction
C1262141	Poor quality sleep
C0152010	Withdrawal bleed
C2720436	Pleural fibrosis
C0343387	Neutropenic enterocolitis
C3160741	Toxicity to various agents
C0263008	Skin fibrosis
C0151692	Impaired healing
C0520679	Obstructive sleep apnea syndrome
C0027066	Myoclonus
C0085602	Polydipsia
C0267941	Pancreatitis necrotising
C0302295	Eruption
C0858156	Serum potassium abnormal
C0151539	Blood urea increased
C1963824	Shortened cervix
C0004998	Benign neoplasm of skin
C0042420	Syncope vasovagal
C0521546	Congenital joint malformation
C1696110	Vessel puncture site haematoma
C0085624	Burning sensation
C0034065	Pulmonary embolism
C0027947	Neutropenia
C0086438	Hypogammaglobulinaemia
C0020302	Developmental glaucoma
C0149904	Hepatitis cholestatic
C0234708	Intraocular pressure increased
C1971624	Appetite absent
C0858867	Reticulocytopenia
C2364082	Hyposmia
C0026837	Muscle rigidity
C0231807	Dyspnoea exertional
C0151747	Renal tubular disorder
C0013336	Dwarfism
C0240812	Prostatic pain
C0001973	Alcoholism
C0242422	Parkinsonism
C0025874	Metrorrhagia
C0264714	Cardiac failure acute
C0242172	Pelvic inflammatory disease
C0281825	Dysequilibrium
C0740304	COPD exacerbation
C0236068	Swollen tongue
C0085595	Body odor
C0013447	Ear disorder
C0155866	Pneumonia anthrax
C0042065	Genitourinary tract neoplasm
C0494165	Metastases to liver
C0877089	Vaginal mucosal blistering
C1306341	Mental disability
C0338656	Cognitive impairment
C0020617	Hypoglycaemic coma
C0239739	Gingival pain
C0341751	Bladder necrosis
C0948240	Thyroxine free decreased
C0159066	Abdominal rigidity
C0010495	Cutis laxa
C0018987	Hemimelia
C0877098	Application site dryness
C0085762	Alcohol abuse
C0151834	Papanicolaou smear suspicious
C0232285	Chest pressure sensation of
C0037320	Sleep terror
C0543467	Surgery
C0267821	Hepatic congestion
C0033246	Proctitis
C0235964	Renal dysgenesis
C0012739	Disseminated intravascular coagulation
C0020639	Hypoproteinaemia
C0001418	Adenocarcinoma
C0476414	Thyroid function test abnormal
C0003467	Anxiety
C1096282	Medication residue
C0007787	Transient ischaemic attack
C0151815	Mesenteric occlusion
C0085660	Aseptic necrosis
C0857093	Elevated liver enzyme levels
C0020503	Hyperparathyroidism secondary
C0021845	Intestinal perforation
C0836924	Thrombocytosis
C0034951	Refraction disorder
C0027651	Neoplasm
C0542052	Coronary artery insufficiency
C0221203	Rash vesicular
C0008350	Cholelithiasis
C0085611	Atrial arrhythmia
C1328337	Urethritis noninfective
C0233715	Speech impairment NOS
C0854381	Genital haemorrhage
C0476281	Non-cardiac chest pain
C0020505	Hyperphagia
C0232981	Spermatogenesis arrest
C0031212	Personality disorder
C0011570	Depression
C0028949	Oligomenorrhoea
C0340464	Extrasystoles
C1390484	Skull hypoplasia
C0235431	Blood creatinine increased
C2004435	Intestinal ischaemia
C0271412	Ear haemorrhage
C1321581	Bezoar
C0233488	Feeling of despair
C0235774	Somnolence neonatal
C0151650	Kidney fibrosis
C0853755	Blood osmolarity decreased
C0042140	Uterine prolapse
C0032343	Poisoning
C0036220	Kaposi's sarcoma
C0085693	Acute appendicitis
C0020580	Hypoaesthesia
C0281773	Acute glaucoma
C0010695	Cystocele
C0263634	Excessive granulation tissue
C2937228	Tunnel vision
C0553721	Sweating decreased
C1963818	Gastrointestinal sounds abnormal
C0151879	Electrocardiogram QT shortened
C0155765	Microangiopathy
C0266589	Ear malformation
C0473237	Frank hematuria
C0522153	Urine color abnormal
C0877584	Tumour haemorrhage
C0027813	Neuritis
C0334492	Malignant mesenchymoma
C0015423	Eyelid disorder
C1704381	Glucose decreased
C0020877	Ileitis
C0034886	Proctalgia
C0429029	Electrocardiogram ST segment
C0241729	Weight fluctuation
C0812387	Coldness
C0015726	Fear
C0019555	Developmental hip dysplasia
C1442826	Necrotising enterocolitis neonatal
C0034634	Rage
C0003466	Anal atresia
C0038538	Subdural effusion
C0041349	Tubulointerstitial nephritis
C0267566	Perirectal abscess
C0159060	Abnormal bowel sounds
C0549249	Depressed level of consciousness
C0042341	Varicocele
C0521616	Pseudoporphyria
C0085648	Synovial cyst
C0438242	Blood urea abnormal
C0750876	Phlebitis superficial
C0005959	Marrow hyperplasia
C0013363	Dysautonomia
C1760428	Suicidal behaviour
C0233565	Bradykinesia
C0520806	Sudden death	 cause unknown
C1262113	Lipohypertrophy
C0158369	Swelling of limb
C0151821	Accidental overdose
C0038534	Subconjunctival hemorrhage
C0005741	Blepharitis
C0151824	Biliary colic
C0877645	Urinary bladder polyp
C0549310	Vaginal mycosis
C0030517	Parathyroid disorder
C0032541	Polyneuritis
C0151313	Peripheral sensory neuropathy
C1697943	Epidermal growth factor receptor decreased
C0541819	Burning rectal
C1536146	Eyelash darkening
C0241057	Skin burning sensation
C0206504	Tympanic membrane perforation
C0858219	Clinical flare reaction
C1739422	Opioid naive
C0234193	Sensation of heat
C0268105	Uricaciduria
C0039621	Tetany
C0267792	Hepatobiliary disease
C0237849	Skin exfoliation
C0005758	Blister
C0854113	Mucosal dryness
C1260880	Rhinorrhoea
C0852922	Crohns disease aggravated
C0858600	Taste sweet
C0271453	Otitis media serous
C0005904	Body temperature altered
C0240182	Leukonychia
C1383860	Cardiac hypertrophy
C0006666	Calciphylaxis
C0855246	Abnormal sleep-related event
C1328327	Gastrooesophageal sphincter insufficiency
C3160830	Prostatic dysplasia
C0541782	Sinus arrest
C0178415	Prostatic specific antigen increased
C0019079	Haemoptysis
C0920166	Catheter site haemorrhage
C2004489	Regurgitation
C0034212	Pyoderma
C0406484	Sebaceous hyperplasia
C0392162	Sticky skin
C0020458	Hyperhidrosis
C0521496	Application site infection
C0007766	Intracranial aneurysm
C3160769	Major bleed
C0403632	Cystitis noninfective
C0235296	Epigastric pain not food-related
C0030578	Paronychia
C0028778	Obstruction
C0027765	Nervous system disorder
C0856081	Restlessness aggravated
C0022603	Seborrhoeic keratosis
C0162423	Miliaria rubra
C0013537	Eclampsia
C0151767	Liver tenderness
C0751711	Anterior ischemic optic neuropathy
C0549201	Asteatosis
C0241950	Intestinal infarction
C0919947	Thoracic vertebral fracture
C1565489	Renal impairment
C0085577	Normocytic anemia
C1112626	Allergic exanthema
C0016522	Foramen ovale patent
C0730345	Microalbuminuria
C0521662	Hemiplegia transient
C3203531	Post-traumatic neck syndrome
C0239150	Creatinine low
C0151684	Granuloma skin
C1142520	Nail pigmentation
C0026987	Myelofibrosis
C0037284	Skin lesion
C1504435	Electrocardiogram QT interval abnormal
C0019340	Herpes NOS
C0744403	Gingival infection
C1167661	Cerebral vasoconstriction
C0948441	Venoocclusive disease
C0151779	Melanoma skin
C0948300	Application site scab
C0031036	Polyarteritis nodosa
C0231837	Respiratory rate decreased
C0015469	Facial paralysis
C0852192	Asthenic conditions
C0013608	Oedema due to cardiac disease
C0007773	Cerebral arteritis
C0151898	Schizophrenic reaction
C0702266	Basophilia
C0042487	Venous thrombosis
C0877792	Circadian rhythm sleep disorder
C0265050	Vena cava thrombosis
C0919936	Therapy naive
C0235996	Hepatic enzyme increased
C0541832	Chromaturia
C0151665	Globulins decreased
C1112210	Catheter site infection
C0043349	Xerophthalmia
C0853750	Blood magnesium decreased
C0234162	Dysmetria
C0010828	Cytopenia
C2945558	Vulvovaginitis trichomonal
C0919882	Incision site haemorrhage
C0151889	Hyperreflexia
C0342405	Pituitary infarction
C0236080	Vaginal discomfort
C1536145	Eyelash hyperpigmentation
C0003850	Arteriosclerosis
C0239549	Fat intolerance
C0151757	Lenticular pigmentation
C0022354	Jaundice cholestatic
C0023480	Chronic myelomonocytic leukaemia
C0020457	Diabetic hyperosmolar coma
C0020651	Orthostatic hypotension
C0023903	Hepatic neoplasm
C0948014	Red cell distribution width increased
C0848309	Rhinitis perennial
C0595900	Blood chloride increased
C0038367	Ulcerative stomatitis
C0003615	Appendicitis
C0549357	Abdominal adhesions
C0232333	Electrocardiogram U wave present
C0022650	Calculus of kidney
C0240962	Scleral icterus
C0042998	Vulvovaginitis
C0040247	Tinea infection
C0740481	Hypotension asymptomatic
C0751576	Vocal cord paresis
C0235030	Neurologic reaction
C0032000	Pituitary adenoma
C1608397	Device occlusion
C0023976	Long QT syndrome
C0151971	Intestinal ulcer
C0027145	Myxoedema
C0267491	Large intestinal ulcer
C0014394	Enuresis
C0424448	Masked facies
C0020604	Hypochondriasis
C0021122	Impulse-control disorder
C0027430	Nasal polyps
C0020676	Hypothyroidism
C0231592	Joint crepitation
C0349464	Wernicke-Korsakoff syndrome
C0023212	Left ventricular failure
C0854100	Nitrogen balance negative
C0019348	Herpes simplex
C0018843	Heat stroke
C0085628	Stupor
C0151468	Thyroid adenoma
C0031046	Pericarditis
C0013781	Electric shock
C0000768	Congenital anomaly
C0032001	Pituitary apoplexy
C0027697	Nephritis
C0242528	Azotaemia
C0853225	International normalised ratio increased
C1112613	Neonatal tachypnoea
C0151480	Antinuclear antibody positive
C0852625	Injection site erythema
C2586050	Oesophagitis ulcerative
C0239779	Grimacing
C0156308	Penile oedema
C0085632	Apathy
C0877359	Raised liver function tests
C0851140	Cervix carcinoma stage 0
C0745091	Hypereosinophilia
C0151966	Duodenal ulcer haemorrhage
C0002884	Hypochromic anaemia
C0018818	Ventricular septal defect
C0036416	Scleritis
C0520962	Pain localised
C0748055	Psychiatric decompensation
C0233762	Hallucination	 auditory
C0740434	Direct bilirubin increased
C0001198	Acrodynia
C0153567	Uterine cancer
C0019284	Diaphragmatic hernia
C0220994	Hyperammonaemia
C0334040	Extraskeletal ossification
C0236826	Expressive language disorder
C0018834	Heartburn
C0877128	Application site pustules
C0016204	Flatulence
C0023473	Chronic myeloid leukaemia
C0267033	Lip ulceration
C0235315	Faeces discoloured
C0086168	Dissociation
C0339807	House dust allergy
C0232495	Abdominal pain lower
C0015644	Fasciculation
C0345996	Milia
C0034067	Emphysema
C0241060	Dermal cyst
C0423232	Corneal staining
C0270612	Leukoencephalopathy
C0027543	Necrosis ischaemic
C0020175	Hunger
C0018621	Seasonal allergy
C0235496	Oral mucosal petechiae
C0238304	Chronic interstitial nephritis
C0549293	Nasal soreness
C0013687	Effusion
C0577730	Family stress
C0152030	Skin irritation
C0026636	Oral disorder
C0032617	Polyuria
C0149911	Hypercalcaemia of malignancy
C0302314	Xanthoma
C1262109	Procedural hypotension
C0553732	Prothrombin level decreased
C0018824	Cardiac valve disease
C0521498	Injection site irritation
